4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 13 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 12 4 2 2 2 12 12 13 4 3 4 4 4 4 2 10 2 2 13 12 13 2 13 4 4 4 2 12 12 12 12 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,349.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 13 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 12 4 2 2 2 12 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 12 12 12 12 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,351.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 12 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 2 4 2 2 2 12 12 13 4 3 4 4 4 4 2 10 2 2 13 12 13 2 13 4 4 4 2 12 12 12 13 10 12 12 12 13 2 13 4 4 2 12 12 13 2 ,348.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 13 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 12 4 2 2 2 12 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 12 12 12 12 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,351.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 13 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 12 4 2 2 2 12 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 12 12 12 12 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,351.0
4 4 12 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 12 4 4 12 12 13 4 2 2 13 12 13 4 2 4 12 2 4 13 4 4 12 4 2 2 4 4 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 2 12 12 13 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,359.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 13 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 12 4 2 2 2 12 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 12 12 12 12 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,351.0
4 4 12 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 12 4 4 12 12 13 4 2 2 13 12 13 4 2 4 12 2 4 13 4 4 12 4 2 2 4 4 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 2 12 12 13 13 2 12 12 13 12 13 4 4 2 12 12 13 2 ,359.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 12 4 4 12 12 13 4 2 2 13 12 13 4 4 4 2 2 4 13 4 4 2 4 2 2 2 12 12 13 4 3 4 4 4 4 2 13 2 2 13 12 13 2 13 4 4 4 2 12 12 12 13 10 12 12 12 13 2 13 4 4 2 12 12 13 2 ,350.0
4 4 4 12 2 12 13 12 13 4 4 4 4 4 4 2 12 12 13 4 4 2 3 2 2 12 12 12 13 4 2 12 13 12 13 4 4 12 12 13 4 2 2 10 12 13 4 4 4 2 2 4 13 4 4 12 4 2 2 2 12 12 13 4 3 4 4 4 4 2 10 2 2 13 12 13 2 13 4 4 4 2 12 12 12 12 13 2 12 12 13 2 13 4 4 2 12 12 13 2 ,347.0
